Local motif clustering. build: 12:51:45, Nov  8 2024. Time: 13:41:11 [Nov  4 2024]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=C-elegans-frontal.txt
Motif type (-m:)=FFLoop
Seed (-s:)=1
alpha (-a:)=0.98
eps (-e:)=0.0001
Total volume = 4356.00. 
Size	NodeId	Conductance
1	1	1.0000000
2	115	0.8974359
3	44	0.6666667
4	42	0.5797101
5	12	0.4597701
6	83	0.4122807
7	36	0.3787879
	First local minimun!!!
8	27	0.4109589
9	25	0.4121622
10	126	0.4244186
11	72	0.4416667
12	14	0.4588235
13	101	0.4576923
14	84	0.4473684
15	106	0.4456929
16	7	0.4612676
17	19	0.4786885
18	9	0.4788274
19	0	0.4890282
20	107	0.4859813
21	21	0.4756097
22	20	0.4746269
23	78	0.5038760
24	41	0.5038561
25	37	0.5099502
26	11	0.4904762
27	17	0.4893112
28	45	0.4758621
29	114	0.4691075
30	46	0.4451754
31	8	0.4196078
32	74	0.4172932
33	71	0.4020101
34	125	0.4042904
35	85	0.3987241
36	130	0.3968750
37	38	0.4081325
38	26	0.4069767
39	43	0.3931133
40	31	0.4000000
41	39	0.3915816
42	47	0.3893805
43	104	0.3891688
44	48	0.3817734
45	89	0.3852556
46	15	0.3750000
47	35	0.3793885
48	6	0.3736018
49	18	0.3767799
50	124	0.3755365
51	3	0.3595041
52	29	0.3379447
53	32	0.3275696
54	80	0.3255597
	Global minimun!!!
55	86	0.3463368
56	116	0.3554041
57	90	0.3718593
58	87	0.3871635
59	64	0.4095238
60	34	0.4235424
61	33	0.4182028
62	30	0.4081381
63	91	0.4230769
64	70	0.4371728
65	56	0.4441417
66	82	0.4523810
67	118	0.4623188
68	40	0.4599709
69	10	0.4590643
70	129	0.4573991
71	88	0.4580745
72	24	0.4563863
73	73	0.4528620
74	52	0.4597902
75	95	0.4680851
76	68	0.4757630
77	2	0.4629981
78	62	0.4563107
79	61	0.4641434
80	94	0.4673469
81	100	0.4711934
82	28	0.4622426
83	103	0.4608295
84	128	0.4646226
85	76	0.4802956
86	58	0.4707379
87	122	0.4597403
88	50	0.4655173
89	66	0.4430769
90	79	0.4518272
91	75	0.4464286
92	63	0.4792453
93	67	0.4942085
94	60	0.5020080
95	55	0.5194805
96	97	0.5201794
97	112	0.5181818
98	65	0.5789474
99	127	0.5795454
100	54	0.5595238
101	69	0.6143791
102	102	0.6187050
103	120	0.6060606
104	49	0.6372549
105	123	0.6250000
106	117	0.5909091
107	113	0.5714286
108	51	0.6376812
109	81	0.7555556
110	57	0.6562500
111	121	0.6296296
112	59	0.8000000
113	92	0.7894737
114	93	0.8125000
115	53	1.0000000
116	119	1.0000000
Size of Cluster: 7.
1 115 44 42 12 83 36 
wheights computed: 131/131

run time: 0.01s (13:41:11)
