Local motif clustering. build: 12:51:45, Nov  8 2024. Time: 13:40:59 [Nov  4 2024]
==================================================================================
Directed graph? (-d:)=No
Input graph file (-i:)=C-elegans-frontal.txt
Motif type (-m:)=clique3
Seed (-s:)=1
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	1	1.0000000
2	115	0.9000000
3	44	0.7333333
4	42	0.6607143
5	12	0.5068493
6	83	0.4545455
7	36	0.4260870
8	5	0.4224138
	First local minimun!!!
9	27	0.4488189
10	25	0.4496124
11	126	0.4733333
12	14	0.5030303
13	72	0.5191489
14	7	0.5294118
15	101	0.5307692
16	0	0.5333334
17	84	0.5195730
18	9	0.5194346
19	106	0.5176057
20	11	0.5083612
21	20	0.5049180
22	41	0.4983713
23	21	0.4920128
24	114	0.4872611
25	78	0.5149864
26	15	0.5129533
27	107	0.5103093
28	45	0.4827586
29	46	0.4389671
30	17	0.4379391
31	19	0.4471910
32	71	0.4308300
33	37	0.4352031
34	26	0.4325843
35	74	0.4280576
36	104	0.4265233
37	8	0.3953871
38	130	0.3899677
39	125	0.3875598
40	6	0.3771518
41	43	0.3647604
42	85	0.3609022
43	124	0.3628319
44	48	0.3559078
45	89	0.3527778
46	64	0.3549258
47	4	0.3544475
48	47	0.3502674
49	38	0.3592737
50	56	0.3575000
51	70	0.3529412
52	52	0.3428913
53	88	0.3275261
54	87	0.3163265
55	10	0.3126411
	Global minimun!!!
56	31	0.3219616
57	80	0.3200420
58	116	0.3251073
59	118	0.3300439
60	82	0.3296089
61	90	0.3375430
62	18	0.3548009
63	117	0.3597633
64	39	0.3760684
65	86	0.3879642
66	34	0.3957503
67	3	0.4063800
68	16	0.4061196
69	24	0.4044631
70	96	0.4036313
71	91	0.4129497
72	62	0.4145986
73	95	0.4174041
74	129	0.4174174
75	58	0.4106870
76	32	0.4244833
77	94	0.4313409
78	35	0.4665552
79	29	0.4884135
80	122	0.4810127
81	68	0.4862888
82	61	0.4906716
83	73	0.4989980
84	66	0.4968944
85	30	0.5103926
86	33	0.4825000
87	100	0.4873737
88	76	0.5078534
89	79	0.5250000
90	50	0.5363637
91	128	0.5295950
92	97	0.5303515
93	63	0.5551839
94	2	0.5501859
95	28	0.5022026
96	60	0.5115207
97	40	0.5069767
98	103	0.5070422
99	75	0.4923077
100	54	0.4734043
101	102	0.4555556
102	67	0.4770115
103	55	0.4844720
104	65	0.5214286
105	127	0.5078125
106	120	0.4876033
107	69	0.5462963
108	123	0.5576923
109	112	0.5544555
110	113	0.5360824
111	49	0.5270270
112	51	0.5901639
113	57	0.5686275
114	121	0.5869565
115	81	0.5833333
116	92	0.5652174
117	93	0.6000000
118	53	0.7500000
119	59	1.0000000
120	119	1.0000000
Size of Cluster: 8.

run time: 0.01s (13:40:59)
